city file stream name
Shanghai Shanghai_103 udp/233.18.204.57:5140  上海电信
Sichuan Sichuan_333 udp/239.94.2.51:5140 四川电信
Hunan Hunan_282 udp/239.76.246.106:1234 湖南电信
Beijing Beijing_dianxin_186 udp/239.3.1.129:8008 北京电信
Zhejiang Zhejiang_120 rtp/233.50.201.118:5140 浙江电信
Guangdong Guangdong_332 udp/239.77.1.98:5146 广东电信
Henan Henan_327 rtp/239.16.20.1:10010 河南电信
Tianjin Tianjin_160 udp/225.1.2.190:5002 天津电信
Hubei Hubei_90 rtp/239.69.1.141:10482 湖北电信
Fujian Fujian_114 rtp/239.61.2.183:9086 福建电信
Gansu Gansu_105 udp/239.255.30.123:8231 甘肃电信
Hebei Hebei_333 rtp/239.253.93.134:6631 河北电信
Chongqing Chongqing rtp/235.254.199.51:7980 重庆电信
Nanjing Jiangsu rtp/239.49.8.19:9614 江苏电信
Shanghai2 Shanghai_liantong udp/238.200.200.130:5540 上海联通
