1184k  223.10.26.57:8083
1157k  223.10.0.68:8083
1102k  113.26.65.168:8083
1101k  223.10.35.222:8084
1079k  113.26.65.168:8082
1061k  223.10.35.222:8082
1059k  223.10.26.57:8082
1059k  223.10.0.68:8082
1059k  113.26.65.168:8084
1050k  110.179.81.100:8082
1044k  223.10.10.129:8083
1040k  110.179.81.63:8082
1033k  223.10.10.129:8082
1031k  223.10.35.222:8083
1026k  223.12.198.245:8082
1024k  223.12.198.245:8083
1022k  223.10.10.129:8084
1013k  223.10.19.222:8083
1007k  223.10.19.222:8082
954k  110.179.81.63:8083
832k  223.12.199.57:8083
825k  223.12.199.57:8082
791k  110.178.52.91:8084
756k  110.179.81.100:8083
743k  1.70.35.220:8084
733k  1.70.35.220:8082
711k  1.70.35.220:8085
709k  110.178.52.91:8082
675k  110.178.52.91:8085
652k  110.178.52.91:8083
584k  1.70.35.220:8083
