1605k  125.125.180.16:7443
1584k  125.125.180.16:44305
1583k  125.125.180.16:18083
1579k  125.125.180.16:20000
1572k  125.125.180.16:50060
1556k  220.189.89.184:9999
1552k  125.125.180.16:7000
1550k  125.125.180.16:3095
1549k  125.125.180.16:9183
1549k  125.125.180.16:8848
1549k  125.125.180.16:1720
1546k  125.125.180.16:8888
1546k  125.125.180.16:3097
1531k  125.125.180.16:161
1522k  125.125.180.16:1452
1505k  125.125.180.16:9162
1505k  125.125.180.16:8889
1495k  125.125.180.16:1951
1394k  125.125.180.16:9999
1279k  115.230.209.108:9999
